,trial,lr,batch_size,epochs,rot_inv,train_loss,val_loss,val_loss_best,tot_time,pruned
0,4,0.00022687291998699805,47,7,5,"[0.30506765842437744, 0.1691206395626068, 0.12686914205551147, 0.10404171049594879, 0.08949412405490875, 0.07618406414985657, 0.06438011676073074]","[0.13179658353328705, 0.109091617166996, 0.08189743757247925, 0.07841891795396805, 0.07459696382284164, 0.0705900639295578, 0.06409548223018646]",0.06409548223018646,465.1265304693952,0
1,6,2.6679059597556104e-05,63,14,1,"[0.46389442682266235, 0.30225151777267456, 0.2735575735569, 0.2524506747722626, 0.23651468753814697, 0.22309653460979462, 0.21253223717212677, 0.20227055251598358, 0.19468781352043152, 0.1876739263534546, 0.1811480075120926, 0.1747954934835434, 0.16985538601875305, 0.1649629771709442]","[0.2103489339351654, 0.2019873708486557, 0.16958105564117432, 0.15453746914863586, 0.15588964521884918, 0.1616993546485901, 0.1356450617313385, 0.13377788662910461, 0.12842844426631927, 0.13492964208126068, 0.13379845023155212, 0.11882811784744263, 0.11558309197425842, 0.1273087114095688]",0.11558309197425842,638.2098555378616,0
2,11,1.2230565448243085e-05,40,7,1,"[0.4856460988521576, 0.317979097366333, 0.2863633930683136, 0.2678578495979309, 0.2536294758319855, 0.24292822182178497, 0.23416851460933685]","[0.22678127884864807, 0.219741091132164, 0.18624529242515564, 0.1689271628856659, 0.16513337194919586, 0.1556222289800644, 0.1496061086654663]",0.1496061086654663,321.46241257712245,0
3,13,2.225971877807669e-06,41,7,3,"[0.8442251086235046, 0.5410686731338501, 0.4042567014694214, 0.3503921926021576, 0.3311684727668762, 0.32077017426490784, 0.3133159875869751]","[0.4614246189594269, 0.31367966532707214, 0.24720436334609985, 0.2247997671365738, 0.21458998322486877, 0.20839713513851166, 0.2031494826078415]",0.2031494826078415,441.34221098199487,0
4,16,0.00032296347260994045,31,12,4,"[0.29713577032089233, 0.15269824862480164, 0.11240379512310028, 0.08940207213163376, 0.0702478289604187, 0.059018369764089584, 0.04872453212738037, 0.038836196064949036, 0.03584377095103264, 0.029262876138091087, 0.025060482323169708, 0.0235124621540308]","[0.15427426993846893, 0.09115798771381378, 0.07442394644021988, 0.08359332382678986, 0.0739641860127449, 0.06678552180528641, 0.055942945182323456, 0.05796533077955246, 0.06101604551076889, 0.04911461099982262, 0.05545180290937424, 0.04809541627764702]",0.04809541627764702,796.7240601768717,0
5,21,1.1747419504741108e-05,59,18,2,"[0.5193057656288147, 0.3260997235774994, 0.30522623658180237, 0.2915928065776825, 0.27888667583465576, 0.2672581374645233, 0.2563730776309967, 0.24641750752925873, 0.23752479255199432, 0.2296704202890396, 0.22334925830364227, 0.21793533861637115, 0.21284666657447815, 0.20828214287757874, 0.20416127145290375, 0.200663760304451, 0.19695527851581573, 0.19347767531871796]","[0.21914924681186676, 0.20315077900886536, 0.1973596215248108, 0.18246251344680786, 0.17482739686965942, 0.16991503536701202, 0.16984376311302185, 0.16000819206237793, 0.1651918739080429, 0.15268895030021667, 0.14782385528087616, 0.14214976131916046, 0.13826507329940796, 0.136435404419899, 0.13687914609909058, 0.1396714746952057, 0.13593368232250214, 0.13103097677230835]",0.13103097677230835,1029.9803626900539,0
6,27,3.373031755602685e-05,48,7,3,"[0.3886887729167938, 0.28109508752822876, 0.24851848185062408, 0.22540079057216644, 0.20590463280677795, 0.18935923278331757, 0.1753883957862854]","[0.19182245433330536, 0.1858697086572647, 0.1494816690683365, 0.14030632376670837, 0.13803251087665558, 0.17641137540340424, 0.1222338005900383]",0.1222338005900383,439.3592956401408,0
7,30,4.967241127365418e-06,38,17,3,"[0.6384778022766113, 0.3633449673652649, 0.3316165804862976, 0.31818804144859314, 0.3086088001728058, 0.3008200228214264, 0.2932868003845215, 0.28675898909568787, 0.28059718012809753, 0.27474766969680786, 0.2695674002170563, 0.26526257395744324, 0.2612963318824768, 0.2561900019645691, 0.2519892752170563, 0.2478693127632141, 0.24356456100940704]","[0.27110567688941956, 0.2266400158405304, 0.21306340396404266, 0.20412535965442657, 0.20044171810150146, 0.1941855251789093, 0.20090244710445404, 0.18421468138694763, 0.1792684644460678, 0.1783934086561203, 0.17433083057403564, 0.17589034140110016, 0.16684290766716003, 0.16580185294151306, 0.16432736814022064, 0.15907657146453857, 0.15846358239650726]",0.15846358239650726,1083.7343013435602,0
8,37,0.0019847904467618833,33,19,0,"[235.9713134765625, 1.0060957670211792, 1.0032931566238403, 1.0011283159255981, 1.000221848487854, 1.0000290870666504, 1.0000675916671753, 1.0001200437545776, 1.000123381614685, 1.0001368522644043, 1.0002018213272095, 1.0001698732376099, 1.0001978874206543, 1.0002226829528809, 1.0002154111862183, 1.000142216682434, 1.0001879930496216, 1.000140905380249, 1.0002062320709229]","[0.7453458905220032, 0.7415533065795898, 0.7372661232948303, 0.7342827916145325, 0.7328169941902161, 0.7321675419807434, 0.7323483228683472, 0.7318673729896545, 0.7315841317176819, 0.7320783734321594, 0.7316051721572876, 0.7347725629806519, 0.732398509979248, 0.7333125472068787, 0.731632649898529, 0.7315017580986023, 0.7314022779464722, 0.7308295965194702, 0.732400119304657]",0.7308295965194702,1276.2438174923882,0
9,43,0.0015128555332257774,47,17,3,"[0.42595046758651733, 0.2272951900959015, 0.1486126333475113, 0.11647959798574448, 0.09775612503290176, 0.08508623391389847, 0.0743541345000267, 0.0685734748840332, 0.059167128056287766, 0.05888424068689346, 0.057902250438928604, 0.04853343963623047, 0.047027479857206345, 0.04211176931858063, 0.04663676396012306, 0.04006585106253624, 0.03893345594406128]","[0.16780319809913635, 0.20677749812602997, 0.1650172472000122, 0.07938791066408157, 0.06937044113874435, 0.07247036695480347, 0.08167040348052979, 0.06155313923954964, 0.05908102169632912, 0.056603383272886276, 0.12233774363994598, 0.05309543386101723, 0.05278042331337929, 0.05639755353331566, 0.04933102801442146, 0.04921970143914223, 0.05377425253391266]",0.04921970143914223,1062.699169812724,0
10,49,0.0011180145416383213,35,14,5,"[0.3086596429347992, 0.12913663685321808, 0.09135407209396362, 0.06355591118335724, 0.05442219600081444, 0.045246630907058716, 0.03555827960371971, 0.031915951520204544, 0.029115675017237663, 0.02743372693657875, 0.02589409425854683, 0.021514292806386948, 0.021756771951913834, 0.021658102050423622]","[0.10939915478229523, 0.14103683829307556, 0.08116548508405685, 0.0797545462846756, 0.0566381961107254, 0.04582292586565018, 0.0950745940208435, 0.06562149524688721, 0.04740861430764198, 0.04418380558490753, 0.04107074812054634, 0.05601593852043152, 0.04098856449127197, 0.038215648382902145]",0.038215648382902145,938.5458284234628,0
11,54,0.003341110959018846,19,6,1,"[1.0041550397872925, 1.000382423400879, 1.0002431869506836, 1.0003430843353271, 1.0002928972244263, 1.0004857778549194]","[0.7301901578903198, 0.7328812479972839, 0.7302294969558716, 0.7329745292663574, 0.7298378944396973, 0.7318066954612732]",0.7298378944396973,287.53076858632267,0
12,56,8.237096481709145e-06,28,18,5,"[0.4788880944252014, 0.27339476346969604, 0.24721114337444305, 0.22923298180103302, 0.21511751413345337, 0.2036220133304596, 0.19390681385993958, 0.18488894402980804, 0.1785384863615036, 0.17248128354549408, 0.1670219451189041, 0.16154088079929352, 0.15749946236610413, 0.15341980755329132, 0.14936816692352295, 0.14580844342708588, 0.14226055145263672, 0.14033196866512299]","[0.1925438940525055, 0.16972580552101135, 0.1555081307888031, 0.14606529474258423, 0.1389630287885666, 0.13284540176391602, 0.12920480966567993, 0.12402025610208511, 0.12752729654312134, 0.11920114606618881, 0.12321799993515015, 0.11213959753513336, 0.11004740744829178, 0.11440293490886688, 0.1084757000207901, 0.10785099118947983, 0.10434290021657944, 0.10319686681032181]",0.10319686681032181,1233.834364647977,0
13,63,2.10113881901147e-06,17,13,4,"[0.7117136120796204, 0.4077188968658447, 0.3447771370410919, 0.3231348693370819, 0.3094464838504791, 0.29875829815864563, 0.28994300961494446, 0.28197184205055237, 0.274906724691391, 0.2683604955673218, 0.2629704773426056, 0.25815653800964355, 0.25321686267852783]","[0.3277035355567932, 0.23829668760299683, 0.22001603245735168, 0.2093784660100937, 0.20177240669727325, 0.19321158528327942, 0.1898307204246521, 0.18306303024291992, 0.18085579574108124, 0.17374160885810852, 0.16964630782604218, 0.16674424707889557, 0.1643296629190445]",0.1643296629190445,924.4015592681244,0
14,69,0.0002075804777004886,60,12,3,"[0.3335556387901306, 0.22134405374526978, 0.15934982895851135, 0.12837417423725128, 0.11005362123250961, 0.09903153032064438, 0.0866774395108223, 0.07842826843261719, 0.06803712248802185, 0.06119055300951004, 0.05617455765604973, 0.05053474009037018]","[0.15025465190410614, 0.1310202032327652, 0.11456803232431412, 0.0836692601442337, 0.08809547126293182, 0.07318317145109177, 0.07409533858299255, 0.06950731575489044, 0.07097093015909195, 0.07352251559495926, 0.06755439937114716, 0.06665722280740738]",0.06665722280740738,746.4462122777477,0
15,73,0.0037923652097254586,39,14,5,"[1.036450743675232, 1.0003196001052856, 1.0002317428588867, 1.0004624128341675, 1.000258207321167, 1.0003942251205444, 1.0001548528671265, 1.0002524852752686, 1.0004609823226929, 1.0002408027648926, 1.0003552436828613, 1.0002855062484741, 1.0001963376998901, 1.0003736019134521]","[0.7334636449813843, 0.7335190773010254, 0.7337443232536316, 0.732245922088623, 0.7302745580673218, 0.7321573495864868, 0.735191285610199, 0.7306557893753052, 0.7326794862747192, 0.7318307161331177, 0.731778621673584, 0.732793390750885, 0.7296131253242493, 0.7320763468742371]",0.7296131253242493,941.6878143493086,0
16,78,0.0073753794710484,25,10,5,"[1.781468152999878, 1.0003527402877808, 1.000373363494873, 1.0006530284881592, 1.0006492137908936, 1.0007684230804443, 1.000654697418213, 1.000375509262085, 1.0007598400115967, 1.000710368156433]","[0.73235684633255, 0.7308228611946106, 0.7326370477676392, 0.7305383086204529, 0.7363224029541016, 0.7319492697715759, 0.7436795234680176, 0.73210608959198, 0.7354928851127625, 0.7294428944587708]",0.7294428944587708,703.0196999916807,0
17,82,5.0791650443117e-05,18,7,5,"[0.3000868260860443, 0.19794537127017975, 0.1591954380273819, 0.13784340023994446, 0.1227918490767479, 0.1119782105088234, 0.10292959958314896]","[0.16464188694953918, 0.11461568623781204, 0.10779538750648499, 0.08895161002874374, 0.0864306315779686, 0.08803527057170868, 0.07881458848714828]",0.07881458848714828,516.042388446629,0
18,86,5.033795528575574e-06,50,10,0,"[0.5871384143829346, 0.31004637479782104, 0.271926611661911, 0.2559046149253845, 0.2447359710931778, 0.235263392329216, 0.2271757870912552, 0.21985627710819244, 0.2132633924484253, 0.20737160742282867]","[0.23932702839374542, 0.1827976554632187, 0.1681525707244873, 0.167325958609581, 0.16591410338878632, 0.1513967514038086, 0.1454470306634903, 0.14085063338279724, 0.13952022790908813, 0.13401207327842712]",0.13401207327842712,656.1960692033172,0
19,90,0.0029454214369906534,31,8,0,"[1.0074552297592163, 1.0002933740615845, 1.000335454940796, 1.0003304481506348, 1.0002610683441162, 1.0002421140670776, 1.0003583431243896, 1.0003025531768799]","[0.7333015203475952, 0.7318347096443176, 0.7307589650154114, 0.7317625880241394, 0.7349626421928406, 0.733980655670166, 0.7332593202590942, 0.7307869791984558]",0.7307589650154114,544.8034290447831,0
20,95,0.0015373260418097164,33,15,5,"[0.946078896522522, 1.0001827478408813, 1.000118613243103, 1.0001153945922852, 1.0001713037490845, 1.0001633167266846, 1.0001925230026245, 1.0001142024993896, 1.000193476676941, 1.0001863241195679, 1.0001739263534546, 1.0001460313796997, 1.0001893043518066, 1.000153660774231, 1.0000907182693481]","[0.7328733801841736, 0.7331450581550598, 0.7311859130859375, 0.7312410473823547, 0.7336559891700745, 0.7315147519111633, 0.73239666223526, 0.731408417224884, 0.7334194183349609, 0.7335377335548401, 0.7339099645614624, 0.7310869693756104, 0.7333964109420776, 0.7333318591117859, 0.7321958541870117]",0.7310869693756104,1012.4788255132735,0
21,101,0.003913186534825532,20,15,4,"[1.0171937942504883, 1.0003340244293213, 1.000425100326538, 1.0004796981811523, 1.0003684759140015, 1.0006451606750488, 1.0004146099090576, 1.0005204677581787, 1.0005184412002563, 1.0003405809402466, 1.0004433393478394, 1.000503420829773, 1.000570297241211, 1.0005391836166382, 1.0003405809402466]","[0.7299534678459167, 0.7312008738517761, 0.7346557378768921, 0.7311875224113464, 0.7310186624526978, 0.7317126393318176, 0.7334768176078796, 0.7327857613563538, 0.7306444048881531, 0.7323843836784363, 0.7317801117897034, 0.7301231026649475, 0.7322918772697449, 0.7313382029533386, 0.7338457107543945]",0.7299534678459167,1038.5665713688359,0
22,107,0.0007160184309889189,56,18,0,"[0.3280370831489563, 0.14147457480430603, 0.09833601862192154, 0.07057564705610275, 0.0497242771089077, 0.03694365918636322, 0.029915081337094307, 0.025733420625329018, 0.023144036531448364, 0.021297026425600052, 0.021202731877565384, 0.023180298507213593, 0.015884511172771454, 0.014090989716351032, 0.013553104363381863, 0.015952974557876587, 0.014863773249089718, 0.012075021862983704]","[0.3339797258377075, 0.08416002243757248, 0.08164919167757034, 0.09860312938690186, 0.06641820818185806, 0.056566737592220306, 0.05529358237981796, 0.05801041051745415, 0.04475940018892288, 0.047679878771305084, 0.0531102754175663, 0.10383351892232895, 0.04954342171549797, 0.041338350623846054, 0.04110077768564224, 0.04713983088731766, 0.04466232284903526, 0.03992346301674843]",0.03992346301674843,1176.9909976590425,0
23,114,0.0007172213321592777,58,18,0,"[0.2844640016555786, 0.12437906116247177, 0.07900631427764893, 0.05478858947753906, 0.040697626769542694, 0.03272932395339012, 0.029758121818304062, 0.02465050108730793, 0.021774888038635254, 0.021300503984093666, 0.019498134031891823, 0.016402684152126312, 0.015347247943282127, 0.01549601275473833, 0.01443466916680336, 0.014260351657867432, 0.012420048005878925, 0.012011376209557056]","[0.20737238228321075, 0.07373934239149094, 0.08147977292537689, 0.0532723069190979, 0.04530071094632149, 0.04591171443462372, 0.05257616564631462, 0.04633915051817894, 0.0447666198015213, 0.045994218438863754, 0.03881962224841118, 0.041511598974466324, 0.054738376289606094, 0.036719609051942825, 0.03506482020020485, 0.038453977555036545, 0.03886376693844795, 0.033673256635665894]",0.033673256635665894,1168.1317784925923,0
24,120,0.00036020235175931287,59,18,0,"[0.2809988856315613, 0.144004225730896, 0.10172602534294128, 0.07819686084985733, 0.06126352772116661, 0.04546713829040527, 0.034260332584381104, 0.027293037623167038, 0.021558234468102455, 0.019612794741988182, 0.018832990899682045, 0.015857882797718048, 0.014464420266449451, 0.015900233760476112, 0.012551398016512394, 0.011238708160817623, 0.011013684794306755, 0.011543132364749908]","[0.10786622017621994, 0.08318044990301132, 0.09542575478553772, 0.08103784918785095, 0.05953709036111832, 0.07419029623270035, 0.10834620893001556, 0.05536989867687225, 0.05865046754479408, 0.059448953717947006, 0.05487988144159317, 0.051312997937202454, 0.058988943696022034, 0.051156651228666306, 0.05366957560181618, 0.052453525364398956, 0.06807311624288559, 0.052005965262651443]",0.051156651228666306,1170.68656216003,0
25,125,0.0012109021665883076,55,19,0,"[0.8810293674468994, 1.0000957250595093, 1.0001286268234253, 1.0000698566436768, 1.0000581741333008, 1.0000808238983154, 1.0000630617141724, 1.0000702142715454, 1.0001084804534912, 1.0001212358474731, 1.0001256465911865, 1.000033974647522, 1.0000958442687988, 1.000092625617981, 1.0001040697097778, 1.0001226663589478, 1.0001251697540283, 1.0001221895217896, 1.0001356601715088]","[0.7320855259895325, 0.7324877977371216, 0.732474148273468, 0.7330781817436218, 0.7318575978279114, 0.7326583862304688, 0.7345107197761536, 0.7313130497932434, 0.7320491075515747, 0.7319303154945374, 0.7316007614135742, 0.7331296801567078, 0.732205867767334, 0.7333471775054932, 0.7315948605537415, 0.7321048974990845, 0.7327179312705994, 0.7321392893791199, 0.7326343059539795]",0.7313130497932434,1239.0434900280088,0
26,130,0.0005396827826581254,54,19,0,"[0.2776814103126526, 0.14112529158592224, 0.09189336746931076, 0.06552554666996002, 0.04944491758942604, 0.034784626215696335, 0.028706658631563187, 0.02368946000933647, 0.021785298362374306, 0.019096393138170242, 0.017825687304139137, 0.0162435881793499, 0.015015626326203346, 0.014271529391407967, 0.01419247966259718, 0.012978735379874706, 0.011995874345302582, 0.012324564158916473, 0.010799100622534752]","[0.1041368618607521, 0.08949793130159378, 0.09721137583255768, 0.0636771097779274, 0.05374699458479881, 0.05211770161986351, 0.053824543952941895, 0.05081268399953842, 0.055725399404764175, 0.04799327999353409, 0.04415762796998024, 0.04361414536833763, 0.04264509305357933, 0.043563053011894226, 0.04461001604795456, 0.04252172261476517, 0.040473632514476776, 0.04070478305220604, 0.038159556686878204]",0.038159556686878204,1238.3491611052305,0
27,135,0.0007934589359053215,56,17,0,"[0.31225791573524475, 0.13553492724895477, 0.08525724709033966, 0.058406200259923935, 0.040947962552309036, 0.03413448482751846, 0.02582150511443615, 0.02273193933069706, 0.02495073713362217, 0.02170034684240818, 0.018115900456905365, 0.01602047309279442, 0.014406620524823666, 0.014520982280373573, 0.015174433588981628, 0.014838169328868389, 0.014553406275808811]","[0.14082181453704834, 0.0809578001499176, 0.10968253016471863, 0.07116635143756866, 0.34215351939201355, 0.042211394757032394, 0.04400508478283882, 0.04480008780956268, 0.062184348702430725, 0.04754836484789848, 0.04260155186057091, 0.03658789023756981, 0.0518452450633049, 0.03952536731958389, 0.04033273085951805, 0.0387350432574749, 0.05734766274690628]",0.03658789023756981,1103.8112094122916,0
28,140,0.000837421835038154,61,17,0,"[0.3122723698616028, 0.1311190277338028, 0.08371851593255997, 0.05317584425210953, 0.0371866449713707, 0.030072417110204697, 0.0263409111648798, 0.02305625006556511, 0.023847144097089767, 0.019360115751624107, 0.01734986901283264, 0.01713535003364086, 0.01696448028087616, 0.015360714867711067, 0.013751012273132801, 0.012764787301421165, 0.01272975467145443]","[0.10964901000261307, 0.11010602861642838, 0.08119946718215942, 0.05828923359513283, 0.049818411469459534, 0.04489393159747124, 0.04715391620993614, 0.049156997352838516, 0.04462943971157074, 0.04141195863485336, 0.04069996625185013, 0.05059894919395447, 0.03714408352971077, 0.038714081048965454, 0.038402706384658813, 0.03541376069188118, 0.034890227019786835]",0.034890227019786835,1101.8826932990924,0
